Time,City_Name,Healthy,Zombies,Dead,Civil,Military,Medics
1683570853.6797016,Nogales Village,392,7,0,364,20,8
1683570853.6897013,Zeidel Borough,349,18,38,317,20,12
1683570853.784124,Gulans Town,377,6,0,350,15,12
1683570853.784124,Mackers City,555,26,0,511,32,12
1683570853.8015213,Albono Hills,175,7,0,166,6,3
1683570853.8045125,Nogales Village,392,7,0,364,20,8
1683570853.8155217,Zeidel Borough,349,18,38,317,20,12
1683570853.9097445,Gulans Town,377,6,0,350,15,12
1683570853.9117415,Mackers City,554,27,0,510,32,12
1683570853.9247403,Nogales Village,392,7,0,364,20,8
1683570853.9247403,Zeidel Borough,349,18,38,317,20,12
1683570853.9257417,Albono Hills,175,7,0,166,6,3
1683570854.0317242,Gulans Town,377,6,0,350,15,12
1683570854.0337374,Mackers City,554,27,0,510,32,12
1683570854.0478168,Nogales Village,391,8,0,364,19,8
1683570854.0488036,Zeidel Borough,349,18,38,317,20,12
1683570854.050808,Albono Hills,175,7,0,166,6,3
1683570854.1407285,Mackers City,554,27,0,510,32,12
1683570854.1417348,Gulans Town,377,6,0,350,15,12
1683570854.1578443,Nogales Village,391,8,0,364,19,8
1683570854.1591582,Zeidel Borough,349,18,38,317,20,12
1683570854.1722012,Albono Hills,175,7,0,166,6,3
1683570854.2507799,Mackers City,553,28,0,509,32,12
1683570854.2644234,Gulans Town,377,6,0,350,15,12
1683570854.2684276,Nogales Village,391,8,0,364,19,8
1683570854.2694356,Zeidel Borough,349,18,38,317,20,12
1683570854.2824137,Albono Hills,175,7,0,166,6,3
1683570854.3761332,Gulans Town,376,7,0,349,15,12
1683570854.3771334,Mackers City,551,30,0,507,32,12
1683570854.392152,Zeidel Borough,349,18,38,317,20,12
1683570854.392152,Nogales Village,391,8,0,364,19,8
1683570854.3961504,Albono Hills,175,7,0,166,6,3
1683570854.4994495,Zeidel Borough,349,18,38,317,20,12
1683570854.51249,Gulans Town,376,7,0,349,15,12
1683570854.5134823,Mackers City,551,30,0,507,32,12
1683570854.5164819,Albono Hills,175,7,0,166,6,3
1683570854.5174773,Nogales Village,391,8,0,364,19,8
1683570854.6247106,Gulans Town,376,7,0,349,15,12
1683570854.6256988,Nogales Village,391,8,0,364,19,8
1683570854.6256988,Albono Hills,175,7,0,166,6,3
1683570854.640487,Mackers City,551,30,0,507,32,12
1683570854.640487,Zeidel Borough,349,18,38,317,20,12
1683570854.7487679,Gulans Town,376,7,0,349,15,12
1683570854.7487679,Albono Hills,175,7,0,166,6,3
1683570854.749767,Nogales Village,391,8,0,364,19,8
1683570854.763777,Mackers City,550,31,0,506,32,12
1683570854.7647786,Zeidel Borough,349,18,38,317,20,12
1683570854.8585875,Gulans Town,375,8,0,348,15,12
1683570854.875965,Mackers City,550,31,0,506,32,12
1683570854.875965,Nogales Village,391,8,0,364,19,8
1683570854.8769574,Albono Hills,175,7,0,166,6,3
1683570854.879952,Zeidel Borough,348,19,38,316,20,12
1683570854.984603,Gulans Town,374,9,0,347,15,12
1683570854.985594,Mackers City,548,33,0,504,32,12
1683570855.0015965,Nogales Village,391,8,0,364,19,8
1683570855.0025983,Albono Hills,175,7,0,166,6,3
1683570855.0095952,Zeidel Borough,348,19,38,316,20,12
1683570855.1078107,Gulans Town,372,11,0,345,15,12
1683570855.1129267,Mackers City,548,33,0,504,32,12
1683570855.122776,Albono Hills,175,7,0,166,6,3
1683570855.1237767,Zeidel Borough,348,19,38,316,20,12
1683570855.1288035,Nogales Village,391,8,0,364,19,8
1683570855.2332702,Albono Hills,175,7,0,166,6,3
1683570855.2342646,Mackers City,548,33,0,504,32,12
1683570855.2352734,Gulans Town,372,11,0,345,15,12
1683570855.2488587,Zeidel Borough,348,19,38,316,20,12
1683570855.2498531,Nogales Village,391,8,0,364,19,8
1683570855.3570752,Gulans Town,372,11,0,345,15,12
1683570855.3580856,Mackers City,548,33,0,504,32,12
1683570855.3580856,Nogales Village,391,8,0,364,19,8
1683570855.3701854,Albono Hills,175,7,0,166,6,3
1683570855.376161,Zeidel Borough,348,19,38,316,20,12
